"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TOM.GILBERT","2016-2017","L.A","D",18,18.75,0,0,0,0,0,0,0.15,0.48,7,23,-16,23.33,7.99,0,3,-3,0,-20,0.21,1.29,-1.08,14,-7.91,0,0,0,1,3.2,0,0,NA,70,22.22,15.91,26.57,13.97,41.39,86.71
"TOM.KUHNHACKL","2015-2016","PIT","R",42,40.05,2,0,2,2,3,3,1.83,2.74,12,57,-45,17.39,1.41,3,5,-2,37.5,19.85,0.67,4.3,-3.63,13.48,-5.27,0,0,0,5,7.49,0.38,0.57,50,120.18,12.9,20.08,35.79,12.2,45.75,89.05
"TOM.KUHNHACKL","2016-2017","PIT","R",57,100.22,1,1,2,2,1.2,1.2,2.69,1.61,22,196,-174,10.09,-2.72,2,15,-13,11.76,7.42,1.37,16.17,-14.8,7.81,-2.65,0,1,1,10,5.99,0.66,0.4,16.67,102.23,9.43,34.88,44.47,11.32,48.31,88.96
"TOMMY.CROSS","2015-2016","BOS","D",3,5.78,0,1,1,1,10.38,10.38,0.85,8.82,1,5,-4,16.67,-11.9,1,1,0,50,0,0.17,0.52,-0.35,24.64,-24.14,0,1,1,0,0,0,0,NA,166.67,0,31.24,38.1,14.52,41.98,87.93
"TOMMY.WINGELS","2013-2014","S.J","C",77,97.03,2,1,3,3,1.86,1.86,3.25,2.01,33,133,-100,19.88,9.17,6,5,1,54.55,47.14,4.4,7.39,-2.99,37.32,26.88,1,0,-1,9,5.57,1.28,0.79,33.33,113.29,20,28.67,38.15,11.32,48.12,88.33
"TOMMY.WINGELS","2014-2015","S.J","C",75,94.02,1,0,1,1,0.64,0.64,2,1.28,33,146,-113,18.44,6.47,3,13,-10,18.75,18.75,2.52,10.81,-8.29,18.9,7.76,2,3,1,7,4.47,0.82,0.52,16.67,94.43,14.75,28.91,38.18,13.59,45.77,87.88
"TOMMY.WINGELS","2015-2016","S.J","C",68,76.84,0,2,2,2,1.56,1.56,1.95,1.52,13,103,-90,11.21,3.27,2,9,-7,18.18,7.47,1.22,6.6,-5.38,15.6,7.42,1,2,1,2,1.56,0.36,0.28,0,105.86,10.81,23.73,36.03,9.57,45.08,88.88
"TOMMY.WINGELS","2016-2017","S.J/OTT","C",72,50.7,0,0,0,0,0,0,0.4,0.47,7,88,-81,7.37,-6.36,1,8,-7,11.11,-0.65,0.5,6.28,-5.78,7.37,-5.27,0,0,0,1,1.18,0.04,0.05,0,102.61,21.74,16.44,37.71,12.5,41.93,87.5
"TOM.PYATT","2013-2014","T.B","C",27,26.11,0,0,0,0,0,0,0.28,0.64,4,49,-45,7.55,-4.9,0,4,-4,0,-25,0.09,2.37,-2.28,3.66,-12,0,0,0,1,2.3,0,0,NA,83.33,7.41,18.82,35.16,10.8,47.78,87.82
"TOM.PYATT","2016-2017","OTT","C",82,172.98,0,2,2,2,0.69,0.69,3.47,1.2,40,318,-278,11.17,-3.94,3,23,-20,11.54,4.13,2.23,17.2,-14.97,11.48,-3.15,0,4,4,14,4.86,0.62,0.22,0,97.06,5.84,42.88,43.5,13.36,47.63,88.07
"TOM.SESTITO","2013-2014","VAN","L",75,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"TOM.SESTITO","2014-2015","VAN","L",2,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"TOM.SESTITO","2015-2016","PIT","L",4,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"TOM.SESTITO","2016-2017","PIT","L",12,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"TOM.WILSON","2013-2014","WSH","R",80,0.05,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0.01,53.33,6.67,52,88
"TOM.WILSON","2014-2015","WSH","R",66,0.6,0,0,0,0,0,0,0,0,0,1,-1,0,-10.57,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0.18,37.22,10,54,89.67
