"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"ANDREW.LADD","2015-2016","WPG/CHI","L",78,211.21,10,4,14,12,3.98,3.41,12.54,3.56,378,29,349,92.87,5.29,25,4,21,86.21,-9.03,24.3,2.22,22.08,91.63,5.67,0,0,0,67,19.03,7.84,2.23,29.41,92.04,96.24,51.05,51.77,86.27,38.3,10.63
"ANDREW.LADD","2016-2017","NYI","L",78,157.52,3,1,4,4,1.52,1.52,3.77,1.44,249,36,213,87.37,-1.99,8,4,4,66.67,-25.33,17.95,3.58,14.37,83.37,-5.24,4,1,-3,38,14.47,3.9,1.49,17.65,91.02,90.76,45.08,43.3,87.44,37.43,11.56
"ANDREW.MACDONALD","2013-2014","NYI/PHI","D",82,230.5,2,8,10,6,2.6,1.56,8.78,2.29,349,36,313,90.65,-0.96,26,5,21,83.87,-11.78,24.79,3.26,21.53,88.38,-1.92,1,0,-1,85,22.13,2.5,0.65,6.9,93.3,96.39,50.85,53.87,91.53,39.74,11.65
"ANDREW.MACDONALD","2014-2015","PHI","D",58,81.29,1,4,5,3,3.69,2.21,4.33,3.2,96,16,80,85.71,-5.02,7,0,7,100,12.82,6.11,0.62,5.49,90.79,2.36,1,0,-1,28,20.67,0.84,0.62,6.67,112.73,88,27.72,32.05,85.08,35.19,13.2
"ANDREW.MACDONALD","2015-2016","PHI","D",28,21.05,0,2,2,2,5.7,5.7,1.55,4.42,27,3,24,90,-0.88,3,0,3,100,16.67,1.46,0.09,1.37,94.19,5.67,0,0,0,6,17.1,0.09,0.26,0,120,85.71,12.64,27.36,88.8,35.63,10.84
"ANDREW.MACDONALD","2016-2017","PHI","D",73,6.9,0,0,0,0,0,0,0.08,0.7,7,3,4,70,-19.31,0,2,-2,0,-89.8,0.73,0.22,0.51,76.84,-13.38,0,0,0,1,8.7,0.06,0.52,0,33.33,57.14,1.73,35.75,88.66,34.87,10.74
"ANDREW.MACWILLIAM","2014-2015","TOR","D",12,0.18,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0.23,56.16,86.3,38.36,15.07
"ANDREW.POTURALSKI","2016-2017","CAR","C",2,0.37,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,100,3.39,14.29,91.16,36.73,9.52
"ANDREW.SHAW","2013-2014","CHI","C",80,208.8,5,4,9,7,2.59,2.01,6.89,1.98,361,52,309,87.41,-4.9,28,4,24,87.5,-7.5,22.76,3.35,19.41,87.17,-2.54,8,2,-6,32,9.2,5.41,1.55,22.73,103.08,97.78,51.3,56.05,88.63,38.98,11.44
"ANDREW.SHAW","2014-2015","CHI","C",79,211.53,5,1,6,5,1.7,1.42,5.25,1.49,396,34,362,92.09,5.61,22,2,20,91.67,13.41,20.96,2.34,18.62,89.96,4.42,6,3,-3,28,7.94,3.98,1.13,26.32,102.64,98.52,50.68,51.65,86.46,36.93,12.28
